employee_id,first_name,last_name,department_id,department_name,manager_employee_id,employee_role,salary,hire_date,terminated_date,terminated_reason,dob,fte,location
1377208,Tushar,NIYOGI,54013,Medical Telecommunicators,-,Med Telecomm Coordinator,9893,2001-03-26,01-01-1700,,1958-02-20,1,Pokhara
1672200,Kabir,Jamarkattel,31288,HMOB GI Procedure,5014147,Clinical Nurse-II,7184,2009-09-08,01-01-1700,,1963-03-18,0.8,Kathmandu
1977006,Balgovind,Baidhya,51100,NFS Retail Services,-,Food Services Mgr I,11885,2007-05-21,01-01-1700,,1982-07-13,1,Hetauda
3974506,Shambhu,Bhattacharya,54013,Medical Telecommunicators,1377208,Med Ctr Telecom Spec,11331,2016-08-15,01-01-1700,,1990-03-14,1,Pokhara
4019778,Jitendra,Tripathee,51100,NFS Retail Services,1977006,Food Services Supv,7435,2013-01-06,01-01-1700,,1990-10-10,1,Pokhara
4024378,Kundan,Dangi,18048,Patient Equipment Service,5001188,Stock Clerk,6248,2011-09-06,01-01-1700,,1964-04-22,1,Pokhara
5001188,Praveen,Bastola,55050,CD Operations,-,Supply Chain Services Supv,6965,2012-07-23,01-01-1700,,1974-02-11,1,Kathmandu
5001252,Aadesh,Raut,51120,NFS NCCH - Starbucks,1977006,Commercial Cashier,3593,2012-08-06,01-01-1700,,1988-10-03,0.5,Hetauda
5005963,Kripal,Adhikari,11151,4 Oncology,-,Patient Services Mgr III,6456,2014-10-13,01-01-1700,,1980-02-28,1,Hetauda
5009770,Swayambhu,Tamarkar,54013,Medical Telecommunicators,1377208,Med Ctr Telecom Spec,2997,2016-05-09,01-01-1700,,1975-08-13,1,Kathmandu
5010823,Muni,Bhujel,11151,4 Oncology,5005963,Clinical Nurse-II,10741,2016-09-26,01-01-1700,,1985-03-15,0.9,Hetauda
5010831,HIMAL,Baruwal,11151,4 Oncology,5005963,Clinical Nurse-II,5872,2016-09-26,01-01-1700,,1992-06-07,0.9,Hetauda
5010836,Purnima,Hamal,54013,Medical Telecommunicators,1377208,Med Ctr Telecom Spec,8812,2016-09-26,01-01-1700,,1972-11-24,1,Kathmandu
5011015,Nanda,Rajkarnikar,51120,NFS NCCH - Starbucks,1977006,Commercial Cashier,5960,2016-10-24,01-01-1700,,1991-05-17,1,Kathmandu
5011018,Rani,NEOPANE,51120,NFS NCCH - Starbucks,1977006,Food Services Associate,5601,2016-10-24,01-01-1700,,1983-12-12,1,Kathmandu
5011060,Sudha,Kansakar,11151,4 Oncology,5005963,Clinical Suppt Tech I,4565,2016-11-07,01-01-1700,,1973-06-06,0.9,Kathmandu
5011105,Anushka,Manandhar,31288,HMOB GI Procedure,5014147,Clinical Nurse-II,10374,2016-11-07,01-01-1700,,1971-06-10,1,Hetauda
5011110,Lochan,Maske,31288,HMOB GI Procedure,5014147,Endoscopy Technician,9809,2016-11-07,01-01-1700,,1992-10-30,1,Kathmandu
5011147,Amiri,Gyawali,18048,Patient Equipment Service,5001188,Stock Clerk,10905,2016-11-21,03-15-2020,Contract Expired,1977-03-02,1,Kathmandu
5011401,Mahadevi,Khetan,54013,Medical Telecommunicators,1377208,Med Ctr Telecom Spec,4570,2017-08-13,01-01-1700,,1982-09-25,1,Hetauda
5011499,Peenkee,Ranjan,11151,4 Oncology,5005963,Clinical Suppt Tech II,3977,2017-01-30,01-01-1700,,1955-10-14,0.9,Kathmandu
5011633,Himani,Pokhrel,31285,HMOB GI Clinic,5014147,Licensed Practical Nurse,2793,2017-02-27,01-01-1700,,1967-08-15,1,Pokhara
5012159,SARUPA,Dolma,53410,Linen Room & Laundry,5001188,Stock Clerk,11158,2017-08-13,01-01-1700,,1992-11-28,1,Kathmandu
5012163,Ameeri,Manandhar,51120,NFS NCCH - Starbucks,1977006,Commercial Cashier,9937,2017-04-24,01-01-1700,,1983-08-31,1,Pokhara
5012165,Ameeta,Barakoti,31288,HMOB GI Procedure,5014147,Clinical Nurse-II,9940,2017-04-24,01-01-1700,,1961-10-27,0.6,Hetauda
5012319,Sukriti,Chataut,11151,4 Oncology,5005963,Clinical Nurse-III,10238,2017-05-08,01-01-1700,,1964-05-16,0.9,Pokhara
5012329,Maya,Yadav,54013,Medical Telecommunicators,1377208,Med Ctr Telecom Spec,12138,2017-08-13,01-01-1700,,1994-01-25,1,Kathmandu
5014147,Rani,Karkee,31288,HMOB GI Procedure,-,Patient Services Mgr III,11190,2018-01-29,01-01-1700,,1956-07-16,1,Hetauda
507800,Himal,Banjade,18048,Patient Equipment Service,5001188,Stock Clerk,8903,1995-09-11,08-26-2005,Medical Urgency,1961-09-07,1,Pokhara
986301,Mayur,Rumba,18048,Patient Equipment Service,5001188,Stock Clerk,9320,1998-09-21,01-01-1700,,1968-08-10,1,Pokhara
